,dt,count
965,2014-08-23,2
966,2014-08-24,2
967,2014-08-25,2
968,2014-08-26,2
969,2014-08-27,2
970,2014-08-28,2
971,2014-08-29,2
972,2014-08-30,2
973,2014-08-31,2
974,2014-09-01,2
975,2014-09-02,2
976,2014-09-03,2
977,2014-09-04,2
978,2014-09-05,2
979,2014-09-06,2
980,2014-09-07,2
981,2014-09-08,2
982,2014-09-09,2
983,2014-09-10,2
984,2014-09-11,2
985,2014-09-12,2
986,2014-09-13,2
987,2014-09-14,2
988,2014-09-15,2
989,2014-09-16,2
990,2014-09-17,2
991,2014-09-18,2
992,2014-09-19,2
993,2014-09-20,2
994,2014-09-21,2
995,2014-09-22,2
996,2014-09-23,2
997,2014-09-24,2
998,2014-09-25,2
999,2014-09-26,2
1000,2014-09-27,2
1001,2014-09-28,2
1002,2014-09-29,2
1003,2014-09-30,2
1004,2014-10-01,2
1005,2014-10-02,2
1006,2014-10-03,2
1007,2014-10-04,2
1008,2014-10-05,2
1009,2014-10-06,2
1010,2014-10-07,2
1011,2014-10-08,2
1012,2014-10-09,2
1013,2014-10-10,2
1014,2014-10-11,2
1015,2014-10-12,2
1016,2014-10-13,2
1017,2014-10-14,2
1018,2014-10-15,2
1019,2014-10-16,2
1020,2014-10-17,2
1021,2014-10-18,2
1022,2014-10-19,2
1023,2014-10-20,2
1024,2014-10-21,2
1025,2014-10-22,2
1026,2014-10-23,2
1027,2014-10-24,2
1028,2014-10-25,2
1029,2014-10-26,2
1030,2014-10-27,2
1031,2014-10-28,2
1032,2014-10-29,2
1033,2014-10-30,2
1034,2014-10-31,2
1035,2014-11-01,2
1036,2014-11-02,2
1037,2014-11-03,2
1038,2014-11-04,2
1039,2014-11-05,2
1040,2014-11-06,2
1041,2014-11-07,2
1042,2014-11-08,2
1043,2014-11-09,2
1044,2014-11-10,2
1045,2014-11-11,2
1046,2014-11-12,2
1047,2014-11-13,2
1048,2014-11-14,2
1049,2014-11-15,2
1050,2014-11-16,2
1051,2014-11-17,2
1052,2014-11-18,2
1053,2014-11-19,2
1054,2014-11-20,2
1055,2014-11-21,2
1056,2014-11-22,2
1057,2014-11-23,2
1058,2014-11-24,2
1059,2014-11-25,2
1060,2014-11-26,2
1061,2014-11-27,2
1062,2014-11-28,2
1063,2014-11-29,2
1064,2014-11-30,2
1065,2014-12-01,2
1066,2014-12-02,2
1067,2014-12-03,2
1068,2014-12-04,2
1069,2014-12-05,2
1070,2014-12-06,2
1071,2014-12-07,2
1072,2014-12-08,2
1073,2014-12-09,2
1074,2014-12-10,2
1075,2014-12-11,2
1076,2014-12-12,2
1077,2014-12-13,2
1078,2014-12-14,2
1079,2014-12-15,2
1080,2014-12-16,2
1081,2014-12-17,2
1082,2014-12-18,2
1083,2014-12-19,2
1084,2014-12-20,2
1085,2014-12-21,2
1086,2014-12-22,2
1087,2014-12-23,2
1088,2014-12-24,2
1089,2014-12-25,2
1090,2014-12-26,2
1091,2014-12-27,2
1092,2014-12-28,2
1093,2014-12-29,2
1094,2014-12-30,2
1095,2014-12-31,2
1096,2015-01-01,3
1097,2015-01-02,3
1098,2015-01-03,3
1099,2015-01-04,3
1100,2015-01-05,3
1101,2015-01-06,3
1102,2015-01-07,3
1103,2015-01-08,3
1104,2015-01-09,3
1105,2015-01-10,3
1106,2015-01-11,3
1107,2015-01-12,3
1108,2015-01-13,3
1109,2015-01-14,3
1110,2015-01-15,3
1111,2015-01-16,3
1112,2015-01-17,3
1113,2015-01-18,3
1114,2015-01-19,3
1115,2015-01-20,3
1116,2015-01-21,3
1117,2015-01-22,3
1118,2015-01-23,3
1119,2015-01-24,3
1120,2015-01-25,3
1121,2015-01-26,3
1122,2015-01-27,3
1123,2015-01-28,3
1124,2015-01-29,3
1125,2015-01-30,3
1126,2015-01-31,3
1127,2015-02-01,3
1128,2015-02-02,3
1129,2015-02-03,3
1130,2015-02-04,3
1131,2015-02-05,3
1132,2015-02-06,3
1133,2015-02-07,3
1134,2015-02-08,3
1135,2015-02-09,3
1136,2015-02-10,3
1137,2015-02-11,3
1138,2015-02-12,3
1139,2015-02-13,3
1140,2015-02-14,3
1141,2015-02-15,3
1142,2015-02-16,3
1143,2015-02-17,3
1144,2015-02-18,3
1145,2015-02-19,3
1146,2015-02-20,3
