"","city","county_name","lat","lng","zips"
"257","Palm Springs","Riverside",33.8012,-116.538,"92262 92264 92258 92263"
"258","Mettler","Kern",35.0635,-118.9729,"93313"
"259","Trona","San Bernardino",35.7627,-117.3728,"93562"
"260","Fullerton","Orange",33.8841,-117.9279,"92832 92835 92833 92831 92834 92836 92837 92838"
"261","Coto De Caza","Orange",33.5961,-117.5862,"92679"
"262","Applegate","Placer",39.0007,-120.9924,"95603"
"263","Lompoc","Santa Barbara",34.6617,-120.4714,"93436 93438"
"264","Tuttletown","Tuolumne",38.0003,-120.4503,"95370"
"265","East Richmond Heights","Contra Costa",37.945,-122.314,"94805"
"266","Victorville","San Bernardino",34.5277,-117.3537,"92395 92392 92394 92393"
"267","Desert Shores","Imperial",33.404,-116.0401,"92274"
"268","Hiouchi","Del Norte",41.7937,-124.0663,"95531"
"269","Idyllwild","Riverside",33.74,-116.7189,"92549"
"270","Crescent City","Del Norte",41.7728,-124.1902,"95531 95532"
"271","Riverdale Park","Stanislaus",37.6029,-121.0425,"95358"
"272","Mariposa","Mariposa",37.4873,-119.9682,"95338"
"273","East Oakdale","Stanislaus",37.7849,-120.8014,"95361"
"274","Anaheim","Orange",33.839,-117.8572,"92808 92806 92807 92804 92805 92802 92801 92803 92809 92812 92814 92815 92816 92817 92825 92850 92899"
"275","Coronado","San Diego",32.664,-117.16,"92155 92135 92118 92178"
"276","Laytonville","Mendocino",39.6715,-123.4945,"95454"
"277","Westend","San Bernardino",35.7069,-117.3923,"93562"
"278","Wasco","Kern",35.5938,-119.3673,"93280"
"279","Fillmore","Ventura",34.3989,-118.9181,"93015 93016"
"280","Delano","Kern",35.767,-119.2637,"93215"
"281","Campbell","Santa Clara",37.2803,-121.9543,"95008 95009 95011"
"282","Lynwood","Los Angeles",33.924,-118.2017,"90262"
"283","Winterhaven","Imperial",32.7372,-114.6378,"92283"
"284","Lake Almanor Peninsula","Plumas",40.2812,-121.1345,"96137"
"285","Hood","Sacramento",38.3693,-121.5155,"95639"
"286","Palm Desert","Riverside",33.7378,-116.3696,"92260 92211 92255"
"287","Temecula","Riverside",33.4928,-117.1315,"92590 92591 92592 92589 92593"
"288","Irwindale","Los Angeles",34.1121,-117.9637,"91706 91010"
"289","Los Gatos","Santa Clara",37.2307,-121.9564,"95032 95030 95036"
"290","Big Bend","Shasta",41.0109,-121.924,"96011"
"291","Arrowbear Lake","San Bernardino",34.2108,-117.0834,"92382"
"292","Clarksburg","Yolo",38.4193,-121.5416,"95612"
"293","Bonny Doon","Santa Cruz",37.0435,-122.1369,"95060"
"294","Tollhouse","Fresno",37.0188,-119.3993,"93667"
"295","Georgetown","El Dorado",38.9112,-120.8356,"95634"
"296","Mendota","Fresno",36.7555,-120.3777,"93640"
"297","Trinity Center","Trinity",40.9841,-122.7083,"96091"
"298","Benbow","Humboldt",40.0603,-123.7653,"95542"
"299","Newman","Stanislaus",37.3156,-121.0208,"95360"
"300","Furnace Creek","Inyo",36.4277,-116.8747,"92328"
"301","Eucalyptus Hills","San Diego",32.885,-116.9453,"92040"
"302","Fairview","Alameda",37.676,-122.0481,"94541 94542"
"303","Fetters Hot Springs","Sonoma",38.3199,-122.4861,"95476"
"304","Freeport","Sacramento",38.4633,-121.5023,"95832 95831"
"305","Grayson","Stanislaus",37.5796,-121.1837,"95363"
"306","San Anselmo","Marin",37.9821,-122.5699,"94960 94979"
"307","Kneeland","Humboldt",40.7612,-123.9948,"95549"
"308","Ashland","Alameda",37.6942,-122.1159,"94541 94580 94578"
"309","Big River","San Bernardino",34.1393,-114.3604,"92242"
"310","Kerman","Fresno",36.7249,-120.0625,"93630"
"311","Laguna Woods","Orange",33.6099,-117.7299,"92637 92609 92654"
"312","Marina del Rey","Los Angeles",33.9765,-118.4486,"90292 90295"
"313","Graeagle","Plumas",39.7572,-120.6486,"96103"
"314","Solromar","Ventura",34.05,-118.9537,"90265"
"315","Suncrest","San Diego",32.8042,-116.8645,"92021"
"316","Indio Hills","Riverside",33.8417,-116.248,"92241"
"317","Pollock Pines","El Dorado",38.7565,-120.5904,"95726 95709"
"318","Loyola","Santa Clara",37.3501,-122.098,"94024"
"319","Rancho Calaveras","Calaveras",38.1248,-120.857,"95252"
"320","Westmorland","Imperial",33.0389,-115.6223,"92281"
"321","Hidden Hills","Los Angeles",34.1637,-118.6612,"91302"
"322","La Honda","San Mateo",37.3182,-122.2651,"94020"
"323","Storrie","Plumas",39.9235,-121.3192,"95915"
"324","Menlo Park","San Mateo",37.4689,-122.1662,"94025 94026"
"325","Corona","Riverside",33.8623,-117.5642,"92882 92880 92881 92879 92877 92878"
"326","Alamo","Contra Costa",37.8546,-122.013,"94507"
"327","Cherokee Strip","Kern",35.4693,-119.2614,"93263"
"328","Walnut Creek","Contra Costa",37.9025,-122.0398,"94596 94597 94598 94595 94529"
"329","Fresno","Fresno",36.7834,-119.7933,"93721 93730 93650 93702 93703 93701 93706 93704 93705 93728 93720 93722 93726 93727 93711 93710 93707 93708 93709 93714 93715 93716 93717 93718 93724 93729 93740 93744 93750 93755 93760 93761 93764 93765 93771 93772 93774 93775 93776 93777 93778 93779 93790 93791 93792 93793 93794 93844"
"330","Bootjack","Mariposa",37.4672,-119.8887,"95338"
"331","Pasadena","Los Angeles",34.1598,-118.1389,"91101 91106 91104 91105 91103 91107 91102 91109 91110 91114 91115 91116 91117 91121 91123 91124 91125 91126 91129 91182 91184 91188 91189 91199"
"332","Hobergs","Lake",38.8435,-122.7244,"95426"
"333","San Marcos","San Diego",33.135,-117.1743,"92078 92069 92079 92096"
"334","Badger","Tulare",36.6313,-119.0132,"93603"
"335","Milpitas","Santa Clara",37.4338,-121.8921,"95035"
"336","Oakhurst","Madera",37.3342,-119.6483,"93644"
"337","Hillsborough","San Mateo",37.5573,-122.3587,"94010"
"338","Valley Home","Stanislaus",37.8277,-120.9154,"95361"
"339","Tranquillity","Fresno",36.648,-120.2526,"93668"
"340","Wofford Heights","Kern",35.7127,-118.4731,"93285"
"341","Three Rocks","Fresno",36.5051,-120.3936,"93608"
"342","National City","San Diego",32.6654,-117.0983,"91950 91951 92136"
"343","Diablo Grande","Stanislaus",37.4006,-121.2699,"95363"
"344","Piedmont","Alameda",37.8226,-122.2301,"94611 94610"
"345","Malibu","Los Angeles",34.0368,-118.7845,"90265"
"346","Aguanga","Riverside",33.4522,-116.8555,"92536"
"347","Mayflower Village","Los Angeles",34.1159,-118.0096,"91016 91006"
"348","Casmalia","Santa Barbara",34.8376,-120.5311,"93429"
"349","Lamont","Kern",35.2651,-118.9159,"93307 93241"
"350","Lake San Marcos","San Diego",33.1197,-117.209,"92078"
"351","Los Alamitos","Orange",33.7972,-118.0594,"90720 90721"
"352","Bieber","Lassen",41.1251,-121.1336,"96009"
"353","Hawaiian Gardens","Los Angeles",33.8303,-118.0728,"90716"
"354","Arcadia","Los Angeles",34.1342,-118.0373,"91006 91007 91066 91077"
"355","Rodeo","Contra Costa",38.0368,-122.2526,"94525 94572"
"356","Monta Vista","Santa Clara",37.3227,-122.058,"95014"
"357","Parksdale","Madera",36.9462,-120.0218,"93638"
"358","West Point","Calaveras",38.4043,-120.5374,"95255"
"359","Madison","Yolo",38.675,-121.9702,"95627 95653"
"360","Yreka","Siskiyou",41.7292,-122.6312,"96097"
"361","Denair","Stanislaus",37.5256,-120.7997,"95316"
"362","Gustine","Merced",37.2545,-120.9948,"95322"
"363","Dunnigan","Yolo",38.8926,-121.9741,"95937"
"364","Clio","Plumas",39.7486,-120.5726,"96106"
"365","Florin","Sacramento",38.4832,-121.4042,"95823 95828"
"366","Boulevard","San Diego",32.664,-116.2896,"91905"
"367","Pedley","Riverside",33.9753,-117.4758,"92509"
"368","Scotland","San Bernardino",34.2422,-117.4981,"92358"
"369","Fairfield","Solano",38.2593,-122.0319,"94534 94535 94533 94585"
"370","Crest","San Diego",32.8,-116.8671,"92021 92019"
"371","Richfield","Tehama",39.9739,-122.1733,"96021"
"372","Firebaugh","Fresno",36.8533,-120.4536,"93622"
"373","Glen Avon","Riverside",34.0117,-117.4848,"92509"
"374","Calexico","Imperial",32.6849,-115.4944,"92231 92232"
"375","Belden","Plumas",40.004,-121.254,"95915"
"376","Porterville","Tulare",36.0636,-119.0332,"93257"
"377","Mission Viejo","Orange",33.6095,-117.655,"92692 92691 92690"
"378","Redwood Terrace","San Mateo",37.3147,-122.295,"94020"
"379","Junction City","Trinity",40.7274,-123.0615,"96048"
"380","Pleasanton","Alameda",37.666,-121.8805,"94566 94588"
"381","Richgrove","Tulare",35.7966,-119.1069,"93261"
"382","Vista","San Diego",33.1895,-117.2386,"92084 92083 92081 92085"
"383","Mount Shasta","Siskiyou",41.3206,-122.315,"96067"
"384","Green Acres","Riverside",33.735,-117.0783,"92545 92596"
"385","Big Pine","Inyo",37.1655,-118.2951,"93513"
"386","Gerber","Tehama",40.0614,-122.1484,"96035"
"387","Carson","Los Angeles",33.8374,-118.2559,"90248 90810 90747 90746 90745 90224 90749 90895"
"388","Sleepy Hollow","San Bernardino",33.9478,-117.7787,"91709"
"389","Borrego Springs","San Diego",33.241,-116.3571,"92004"
"390","Tuolumne City","Tuolumne",37.9615,-120.2428,"95379"
"391","McArthur","Shasta",41.0415,-121.4068,"96056 96028"
"392","Hoopa","Humboldt",41.0802,-123.6972,"95546"
"393","Tracy","San Joaquin",37.7254,-121.4447,"95377 95376 95304"
"394","Arnold","Calaveras",38.2423,-120.3546,"95223"
"395","Gardena","Los Angeles",33.8944,-118.3073,"90247 90249"
"396","Marinwood","Marin",38.0383,-122.5378,"94903"
"397","North Auburn","Placer",38.9306,-121.082,"95603 95602"
"398","Palo Alto","Santa Clara",37.3917,-122.1465,"94022 95033 94303 94301 94306 94304 94302"
"399","Lomita","Los Angeles",33.7934,-118.3175,"90717"
"400","Vine Hill","Contra Costa",38.007,-122.0873,"94553"
"401","Carnelian Bay","Placer",39.2346,-120.0767,"95604 96140"
"402","Clifton","Los Angeles",33.8275,-118.3797,"90277"
"403","Graniteville","Nevada",39.4443,-120.7361,"95959"
"404","McCloud","Siskiyou",41.2541,-122.136,"96057"
"405","Empire","Stanislaus",37.6429,-120.9042,"95319 95357"
"406","East Shore","Plumas",40.2453,-121.0768,"96137"
