"","city","county_name"
"576","Avocado Heights","Los Angeles"
"577","Bear Valley Springs","Kern"
"578","Meeks Bay","El Dorado"
"579","Concord","Contra Costa"
"580","Mountain Mesa","Kern"
"581","Canyon","Alameda"
"582","Frazier Park","Kern"
"583","Madeline","Lassen"
"584","South Dos Palos","Merced"
"585","Scotts Valley","Santa Cruz"
"586","Sunnyslope","Riverside"
"587","Goodyears Bar","Sierra"
"588","Atwater","Merced"
"589","Torrance","Los Angeles"
"590","Rio Dell","Humboldt"
"591","Tulelake","Siskiyou"
"592","Orange Park Acres","Orange"
"593","Antioch","Contra Costa"
"594","Oceano","San Luis Obispo"
"595","Soda Bay","Lake"
"596","Kyburz","El Dorado"
"597","Elk Grove","Sacramento"
"598","Bear Valley","Alpine"
"599","Strawberry","Tuolumne"
"600","Boonville","Mendocino"
"601","Sugarloaf Mountain Park","Tulare"
"602","La Selva Beach","Santa Cruz"
"603","Red Mountain","San Bernardino"
"604","Highgrove","Riverside"
"605","South Fontana","San Bernardino"
"606","Val Verde","Los Angeles"
"607","Groveland","Tuolumne"
"608","Elmira","Solano"
"609","Dominguez","Los Angeles"
"610","Sierra Village","Tuolumne"
"611","Santa Venetia","Marin"
"612","South Gate","Los Angeles"
"613","Moraga","Contra Costa"
"614","Glendora","Los Angeles"
"615","North El Monte","Los Angeles"
"616","Keddie","Plumas"
"617","Emigrant Gap","Placer"
"618","Ridgecrest","Kern"
"619","Laguna Niguel","Orange"
"620","Sacramento","Sacramento"
"621","Lemoore","Kings"
"622","Adin","Modoc"
"623","Blairsden","Plumas"
"624","Colma","San Mateo"
"625","Seaside","Monterey"
"626","Lytle Creek","San Bernardino"
"627","Caliente","Kern"
"628","El Portal","Mariposa"
"629","East Porterville","Tulare"
"630","Los Banos","Merced"
"631","Folsom","Sacramento"
"632","South Laguna","Orange"
"633","Manchester","Mendocino"
"634","Lake Isabella","Kern"
"635","Montara","San Mateo"
"636","Oak Hills","San Bernardino"
"637","Camptonville","Yuba"
"638","Fontana","San Bernardino"
"639","Tuolumne","Tuolumne"
"640","San Martin","Santa Clara"
"641","Shingletown","Shasta"
"642","Cloverdale","Sonoma"
"643","Country Club","San Joaquin"
"644","Del Rio","Stanislaus"
"645","Imperial Beach","San Diego"
"646","Catheys Valley","Mariposa"
"647","Heber","Imperial"
"648","Cedar Slope","Tulare"
"649","Lemon Grove","San Diego"
"650","Alamo Oaks","Contra Costa"
"651","Macdoel","Siskiyou"
"652","Daly City","San Mateo"
"653","Lagunitas","Marin"
"654","Orinda","Contra Costa"
"655","El Granada","San Mateo"
"656","San Pasqual","San Diego"
"657","Lee Vining","Mono"
"658","Crescent Mills","Plumas"
"659","Valley Springs","Calaveras"
"660","Traver","Tulare"
"661","Riverside","Riverside"
"662","Descanso","San Diego"
"663","Brawley","Imperial"
"664","Buttonwillow","Kern"
"665","Potrero","San Diego"
"666","Camp Nelson","Tulare"
"667","El Cajon","San Diego"
"668","Tecopa","Inyo"
"669","Millbrae","San Mateo"
"670","Pacific Grove","Monterey"
"671","Rosemont","Sacramento"
"672","Aptos","Santa Cruz"
"673","Santa Ynez","Santa Barbara"
"674","Vincent","Los Angeles"
"675","Bay Point","Contra Costa"
"676","Davenport","Santa Cruz"
"677","Laws","Inyo"
"678","Merced","Merced"
"679","Mira Loma","Riverside"
"680","Murrieta","Riverside"
"681","San Gregorio","San Mateo"
"682","Peters","San Joaquin"
"683","Auberry","Fresno"
"684","Hornbrook","Siskiyou"
"685","Rheem","Contra Costa"
"686","Tahoe Vista","Placer"
"687","Ojai","Ventura"
"688","Tarpey Village","Fresno"
"689","West Park","Fresno"
"690","Comptche","Mendocino"
"691","Hardwick","Kings"
"692","Cold Springs","El Dorado"
"693","Cohasset","Butte"
"694","West Menlo Park","San Mateo"
"695","Salmon Creek","Sonoma"
"696","Courtland","Sacramento"
"697","Rialto","San Bernardino"
"698","Weaverville","Trinity"
"699","Dutch Flat","Placer"
"700","Garden Farms","San Luis Obispo"
"701","Wheatland","Yuba"
"702","Lucerne","Lake"
"703","West Carson","Los Angeles"
"704","Elk Creek","Glenn"
"705","Woodland","Yolo"
"706","Santa Rosa","Sonoma"
"707","Palm Desert Country","Riverside"
"708","Avila Beach","San Luis Obispo"
"709","Planada","Merced"
"710","Kirkwood","Alpine"
"711","Marysville","Yuba"
"712","Newcastle","Placer"
"713","Palmdale","Los Angeles"
"714","Saratoga","Santa Clara"
"715","Occidental","Sonoma"
"716","Plainview","Tulare"
"717","Angels Camp","Calaveras"
"718","Sultana","Tulare"
"719","West Covina","Los Angeles"
"720","Belmont","San Mateo"
"721","Bloomfield","Sonoma"
"722","Sky Londa","San Mateo"
"723","Long Beach","Los Angeles"
"724","London","Tulare"
"725","Greenacres","Kern"
"726","Sloat","Plumas"
"727","Santee","San Diego"
"728","Montalvo","Ventura"
"729","Los Osos","San Luis Obispo"
"730","Walnut","Los Angeles"
"731","Madera","Madera"
"732","White Water","Riverside"
"733","Hornitos","Mariposa"
"734","Rollingwood","Contra Costa"
"735","Benicia","Solano"
"736","Atherton","San Mateo"
"737","Brentwood","Contra Costa"
"738","Los Medanos","Contra Costa"
"739","Sutter Creek","Amador"
"740","South Pasadena","Los Angeles"
"741","Friant","Fresno"
"742","Cazadero","Sonoma"
"743","Sonora","Tuolumne"
"744","Kettleman City","Kings"
"745","Surfside","Orange"
"746","Moccasin","Tuolumne"
"747","Santa Margarita","San Luis Obispo"
"748","Rutherford","Napa"
"749","Meadow Vista","Placer"
"750","Monrovia","Los Angeles"
"751","Ripley","Riverside"
"752","Los Alamos","Santa Barbara"
"753","Whitley Gardens","San Luis Obispo"
"754","Los Serranos","San Bernardino"
"755","Agoura","Los Angeles"
"756","Santa Susana","Ventura"
"757","Nipinnawasee","Madera"
"758","Desert View Highlands","Los Angeles"
"759","Cartago","Inyo"
"760","Lamoine","Shasta"
"761","Middletown","Lake"
"762","Copperopolis","Calaveras"
"763","Mount Baldy","San Bernardino"
"764","Valle Vista","Riverside"
"765","Rolling Hills Estates","Los Angeles"
"766","Aliso Viejo","Orange"
"767","Weed","Siskiyou"
"768","Santa Cruz","Santa Cruz"
"769","Sunnyside","Fresno"
"770","Vacaville","Solano"
"771","Dunsmuir","Siskiyou"
"772","San Ardo","Monterey"
"773","Artesia","Los Angeles"
"774","Soquel","Santa Cruz"
"775","Walker","Mono"
"776","Moss Beach","San Mateo"
"777","West Whittier","Los Angeles"
"778","Stockton","San Joaquin"
"779","San Juan Capistrano","Orange"
"780","Lancaster","Los Angeles"
"781","San Gabriel","Los Angeles"
"782","Parkwood","Madera"
"783","Stinson Beach","Marin"
"784","Floriston","Nevada"
"785","Rough and Ready","Nevada"
"786","Palo Cedro","Shasta"
"787","Homeland","Riverside"
"788","Salton Sea Beach","Imperial"
"789","Simi Valley","Ventura"
"790","Bradbury","Los Angeles"
"791","Avalon","Los Angeles"
"792","Dorris","Siskiyou"
"793","Lake Wildwood","Nevada"
"794","Johnstown","San Diego"
"795","Ladera Heights","Los Angeles"
"796","San Dimas","Los Angeles"
"797","Plymouth","Amador"
"798","Mojave","Kern"
"799","Port Costa","Contra Costa"
"800","Martell","Amador"
"801","Rohnerville","Humboldt"
"802","Magalia","Butte"
"803","Shandon","San Luis Obispo"
"804","Thermal","Riverside"
"805","Rosamond","Kern"
"806","Arvin","Kern"
"807","Edison","Kern"
"808","La Porte","Plumas"
"809","Contra Costa Centre","Contra Costa"
"810","Corte Madera","Marin"
"811","Otterbein","Los Angeles"
"812","Alameda","Alameda"
"813","Fremont","Alameda"
"814","Boronda","Monterey"
"815","North Tustin","Orange"
"816","Walnut Park","Los Angeles"
"817","Pearblossom","Los Angeles"
"818","Jesmond Dene","San Diego"
"819","Fowler","Fresno"
"820","Montalvin","Contra Costa"
"821","Calipatria","Imperial"
"822","Beaumont","Riverside"
"823","San Andreas","Calaveras"
"824","Santa Monica","Los Angeles"
"825","Valley Center","San Diego"
"826","East Highlands","San Bernardino"
"827","Channel Islands Beach","Ventura"
"828","Yermo","San Bernardino"
"829","Crockett","Contra Costa"
"830","San Fernando","Los Angeles"
"831","Camarillo","Ventura"
"832","Diamond Springs","El Dorado"
"833","Susanville","Lassen"
"834","Delft Colony","Tulare"
"835","Kernville","Kern"
"836","Herald","Sacramento"
"837","Solana Beach","San Diego"
"838","Fountain Valley","Orange"
"839","Valley View Park","San Bernardino"
"840","Wrightwood","San Bernardino"
"841","Esparto","Yolo"
"842","Honcut","Butte"
"843","Crannell","Humboldt"
"844","Rancho Cordova","Sacramento"
"845","Seeley","Imperial"
"846","South San Francisco","San Mateo"
"847","Twin Peaks","San Bernardino"
"848","Del Dios","San Diego"
"849","Victor","San Joaquin"
"850","Lytton","Sonoma"
"851","Humboldt Hill","Humboldt"
"852","Wendel","Lassen"
"853","Richmond","Contra Costa"
"854","Guadalupe","Santa Barbara"
"855","Willow Creek","Humboldt"
"856","Tecate","San Diego"
"857","Buena Vista","Amador"
"858","Escalon","San Joaquin"
"859","Belvedere","Marin"
"860","Cotati","Sonoma"
"861","Barstow","San Bernardino"
"862","Downieville","Sierra"
"863","Oro Grande","San Bernardino"
"864","Mexican Colony","Kern"
"865","Squirrel Mountain Valley","Kern"
"866","Shelter Cove","Humboldt"
"867","La Palma","Orange"
"868","Ladera Ranch","Orange"
"869","Hermosa Beach","Los Angeles"
"870","Kennedy","San Joaquin"
"871","Shasta Lake","Shasta"
"872","Blackhawk","Contra Costa"
"873","Willows","Glenn"
"874","California Pines","Modoc"
"875","Greenfield","Monterey"
"876","Ocotillo","Imperial"
